Card ID,Card Name,Turn,Win Rate
92181,Innocuous Rat,2,0.5109243697478991
92181,Innocuous Rat,3,0.509624812922537
92181,Innocuous Rat,7,0.5477090676065364
92181,Innocuous Rat,8,0.5622689208405751
92181,Innocuous Rat,9,0.576221812389974
92181,Innocuous Rat,5,0.5213279759730508
92181,Innocuous Rat,10,0.5901193712327149
92181,Innocuous Rat,11,0.5988822787092122
92181,Innocuous Rat,12,0.606348520837832
92181,Innocuous Rat,13,0.6011862396204033
92181,Innocuous Rat,14,0.6122199592668024
92181,Innocuous Rat,4,0.510224039829303
92181,Innocuous Rat,6,0.5357333155721327
92181,Innocuous Rat,15,0.6058135412974123
92181,Innocuous Rat,16,0.5997506234413965
92181,Innocuous Rat,17,0.6064209274673008
92181,Innocuous Rat,18,0.604494382022472
92181,Innocuous Rat,19,0.5745614035087719
92181,Innocuous Rat,20,0.5423728813559322
92234,Piggy Bank,2,0.5930064243311377
92234,Piggy Bank,3,0.5867407471713401
92234,Piggy Bank,4,0.585826842690885
92234,Piggy Bank,5,0.5778546161445552
92234,Piggy Bank,6,0.5676064084594503
92234,Piggy Bank,7,0.5555962512118927
92234,Piggy Bank,10,0.5321874597656753
92234,Piggy Bank,11,0.535117773019272
92234,Piggy Bank,8,0.5414299649968439
92234,Piggy Bank,9,0.5344678752003946
92234,Piggy Bank,12,0.5444282592862345
92234,Piggy Bank,13,0.5348688419705694
92234,Piggy Bank,16,0.5497076023391813
92234,Piggy Bank,17,0.521594684385382
92234,Piggy Bank,18,0.6180555555555556
92234,Piggy Bank,14,0.5176668536174986
92234,Piggy Bank,15,0.5348595213319459
92339,Wildfire Wickerfolk,2,0.6267810496319164
92339,Wildfire Wickerfolk,3,0.6229038641808144
92339,Wildfire Wickerfolk,4,0.6187670996524611
92339,Wildfire Wickerfolk,5,0.60662467265907
92339,Wildfire Wickerfolk,6,0.5892000197892445
92339,Wildfire Wickerfolk,7,0.581639985054465
92339,Wildfire Wickerfolk,8,0.5701489194938977
92339,Wildfire Wickerfolk,9,0.5643203883495146
92339,Wildfire Wickerfolk,10,0.5584081016256551
92339,Wildfire Wickerfolk,11,0.5476711472335105
92339,Wildfire Wickerfolk,12,0.5365389839717468
92339,Wildfire Wickerfolk,13,0.5677799607072691
92339,Wildfire Wickerfolk,14,0.5715539947322212
92339,Wildfire Wickerfolk,15,0.5568
92339,Wildfire Wickerfolk,17,0.5027322404371585
92339,Wildfire Wickerfolk,16,0.5297619047619048
92216,Fear of Being Hunted,3,0.6631428571428571
92216,Fear of Being Hunted,5,0.6472936400541272
92216,Fear of Being Hunted,6,0.6248149040944936
92216,Fear of Being Hunted,7,0.5958146724267765
92216,Fear of Being Hunted,9,0.559879162770625
92216,Fear of Being Hunted,4,0.6583532262087148
92216,Fear of Being Hunted,8,0.5782418796124303
92216,Fear of Being Hunted,11,0.5496487564078223
92216,Fear of Being Hunted,14,0.55005382131324
92216,Fear of Being Hunted,15,0.5177165354330708
92216,Fear of Being Hunted,12,0.5426382411725517
92216,Fear of Being Hunted,13,0.5592920353982301
92216,Fear of Being Hunted,10,0.5517756579703482
92216,Fear of Being Hunted,16,0.49145299145299143
92216,Fear of Being Hunted,17,0.5
92216,Fear of Being Hunted,2,0.5771428571428572
92337,Undead Sprinter,4,0.6013277628340868
92337,Undead Sprinter,5,0.6087347327235235
92337,Undead Sprinter,2,0.6117856314283505
92337,Undead Sprinter,3,0.599333867883797
92337,Undead Sprinter,11,0.6247288503253796
92337,Undead Sprinter,12,0.6192269076305221
92337,Undead Sprinter,15,0.6345177664974619
92337,Undead Sprinter,16,0.5753768844221105
92337,Undead Sprinter,6,0.617008382991617
92337,Undead Sprinter,7,0.623085254525762
92337,Undead Sprinter,8,0.6243601675197766
92337,Undead Sprinter,9,0.6211845268449042
92337,Undead Sprinter,13,0.6274509803921569
92337,Undead Sprinter,10,0.6286298568507157
92337,Undead Sprinter,14,0.6489738145789101
92337,Undead Sprinter,17,0.5915492957746479
92337,Undead Sprinter,18,0.5725806451612904
92231,Painter's Studio // Defaced Gallery,4,0.529868578255675
92231,Painter's Studio // Defaced Gallery,5,0.5444551549350691
92231,Painter's Studio // Defaced Gallery,9,0.5572435603765499
92231,Painter's Studio // Defaced Gallery,11,0.5496422021647668
92231,Painter's Studio // Defaced Gallery,12,0.5422979797979798
92231,Painter's Studio // Defaced Gallery,6,0.5506045033407986
92231,Painter's Studio // Defaced Gallery,7,0.5547152525894626
92231,Painter's Studio // Defaced Gallery,8,0.5577588574567427
92231,Painter's Studio // Defaced Gallery,10,0.5564342041499626
92231,Painter's Studio // Defaced Gallery,3,0.5143058218263887
92231,Painter's Studio // Defaced Gallery,2,0.5063925362819627
92231,Painter's Studio // Defaced Gallery,13,0.52686188609638
92231,Painter's Studio // Defaced Gallery,14,0.5256739409499358
92231,Painter's Studio // Defaced Gallery,15,0.5256159561986703
92231,Painter's Studio // Defaced Gallery,16,0.5259692757863935
92231,Painter's Studio // Defaced Gallery,17,0.5618631732168851
92231,Painter's Studio // Defaced Gallery,18,0.5565217391304348
